record_id,doi,author_year,intervention,climate_group,subset,domain,subtype,pollutant,effect_value,unit,measurement,n_source_rows,condition,source
B117,10.1016/j.landurbplan.2006.09.005,"Chang, Li & Chang 2007",greening,subtropical,validation,thermal,park,,0.83,degC,measured,1,"mean park cool island, 61 Taipei parks (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B118,10.1016/j.landurbplan.2009.04.005,ShashuaBar_2009,combined,mediterranean,validation,thermal,mixed_measures,,2.5,degC,measured,1,"max daytime air temperature depression, shade trees + grass courtyard vs bare exposed courtyard (34C mid-afternoon), summer, Negev; mesh-only treatment WARMED ~1K; shading grass cut water use >50%",paper abstract (fetched via Academia.edu/KipHub)
B119,10.1016/j.landurbplan.2010.03.008,Cao et al. 2010,greening,subtropical,validation,thermal_surface,park,,1.16,degC,measured,1,"average park cooling-effect intensity, summer (spring 1.30, autumn 0.43); ASTER LST, Nagoya",Aram 2019 Heliyon review text
B120,10.1016/j.landurbplan.2013.11.002,Skoulika et al. 2014,greening,mediterranean,validation,thermal,park,,1.32,degC,measured,1,"park vs urban reference, Athens (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B121,10.1016/j.landurbplan.2013.12.008,"Feyisa, Dons & Meilby 2014",greening,tropical_semiarid,validation,thermal_surface,park,,6.72,degC,measured,1,"maximum park cooling intensity across 21 parks, Landsat ETM+ LST, Addis Ababa",primary abstract
B122,10.1016/j.landurbplan.2015.06.005,Gillner et al. 2015,greening,oceanic,validation,thermal,street_trees,,2.22,degC,measured,1,"up to (species means 0.77-2.22 K), daytime below crown vs open; asphalt surface cooling 5.5-15.2 K",Knight 2021 Additional file 5 (outcome data tables)
B123,10.1016/j.landurbplan.2018.10.022,Park_2019,combined,subtropical,validation,thermal,mixed_measures,,0.46,degC,measured,1,"mean river cooling intensity at 2pm over 32.7 m (0.37C over 37.2 m at 10pm), restored Cheonggye River transects, summer",paper abstract (Semantic Scholar)
B125,10.1016/j.proenv.2017.03.103,Androutsopoulos_2017,cool_roof,mediterranean,validation,energy,cool_roof_coating,,30,percent,modeled,1,"annual cooling demand reduction up to 30% (winter heating penalty 12%), validated dynamic simulation","primary abstract (Semantic Scholar), fetched"
B125,10.1016/j.proenv.2017.03.103,Androutsopoulos_2017,cool_roof,mediterranean,validation,thermal,cool_roof_coating,,1.75,degC,measured,1,"daily mean indoor air reduction, measured range 1.6-1.9 degC (simulated 1.3-2.3 degC), pilot school vs twin reference building Athens","primary abstract (Semantic Scholar), fetched"
B126,10.1016/j.renene.2007.03.022,Spala et al. 2008,greening,mediterranean,validation,energy,green_roof,,40,percent,modeled,1,approx. 40% summer cooling load reduction for office building with green roof (dynamic simulation),primary abstract
B127,10.1016/j.renene.2009.07.022,Ahmad_2010,cool_roof,tropical_semiarid,validation,thermal_surface,cool_roof_coating,,4.5,degC,measured,1,surface temp reduction of anti-solar coating (review Table 2),"Rawat & Singh 2022 full text Table 2, fetched"
B128,10.1016/j.renene.2009.12.021,Tsiros 2010,greening,mediterranean,fine_tuning,energy,street_trees,,8.6,percent,modeled,1,"up to (2.6-8.6%) daytime AC consumption reduction, simplified estimate",primary abstract
B128,10.1016/j.renene.2009.12.021,Tsiros 2010,greening,mediterranean,fine_tuning,thermal,street_trees,,2.2,degC,measured,1,"max cooling at 17:00 during heatwave (mean ranges 0.5-1.6 at 14:00, 0.4-2.2 at 17:00)",primary abstract
B129,10.1016/j.renene.2014.09.045,Zingre_2015a,cool_roof,tropical_semiarid,fine_tuning,energy,cool_roof_coating,,54,percent,measured,1,daily heat gain reduction (0.66 kWh/m2),"Rawat & Singh 2022 full text, fetched"
B129,10.1016/j.renene.2014.09.045,Zingre_2015a,cool_roof,tropical_semiarid,fine_tuning,thermal,cool_roof_coating,,2.4,degC,measured,1,indoor air temp reduction,"Rawat & Singh 2022 full text, fetched"
B129,10.1016/j.renene.2014.09.045,Zingre_2015a,cool_roof,tropical_semiarid,fine_tuning,thermal_surface,cool_roof_coating,,5.4,degC,measured,1,"roof surface temp reduction (review Table 1 avg; review body cites peak 14.1 degC), cool coating reflectance 0.74 on concrete roof, validated on real Singapore apartments","Rawat & Singh 2022 full text, fetched"
B130,10.1016/j.renene.2020.01.085,"Bevilacqua, Bruno & Arcuri 2020",greening,mediterranean,validation,energy,green_roof,,34.9,percent,modeled,1,"annual cooling energy saving, non-insulated green roof, continuous AC operation (validated TRNSYS)",primary abstract
B132,10.1016/j.scitotenv.2012.06.089,Boogaard_2012,low_emission_zone,oceanic,fine_tuning,air_quality,lez_zone,pm25,30,percent,measured,1,"urban streets (urban background 27%) vs 20% at suburban control sites, 2 years post; LEZ alone gave no significant change in traffic-related pollutants",primary abstract fetched via PubMed
B133,10.1016/j.scitotenv.2012.10.101,Salmond et al. 2013,greening,oceanic,fine_tuning,air_quality,street_trees,pollutant_other,49.3,percent,measured,1,"NO2 leaf-on vs leaf-off season, street canyon site 1 (14.0 vs 7.1 ppb; seasonally confounded)",Knight 2021 Additional file 5 (outcome data tables)
B134,10.1016/j.scitotenv.2014.06.048,"Doick, Peace & Hutchings 2014",greening,oceanic,validation,thermal,park,,1.1,degC,measured,1,"average summer nighttime cooling (max 4.0 degC), Kensington Gardens, London",Aram 2019 Heliyon review text
B135,10.1016/j.scitotenv.2016.02.035,Lin et al. 2016,greening,continental,validation,air_quality,barrier,pollutant_other,63.6,percent,measured,1,"up to (37.7-63.6%) UFP reduction behind roadside vegetation barrier, full foliage (CO 23.6-56.1%)",primary abstract
B136,10.1016/j.scitotenv.2017.11.327,"Yan, Wu & Dong 2018",greening,subtropical,validation,thermal,street_trees,,2.8,degC,measured,1,"23:00 summer mean, park vs surrounding streets (site means 0.6-2.8; max 4.8 at midnight)",Knight 2021 Additional file 5 (outcome data tables)
B137,10.1016/j.scitotenv.2018.12.262,Ozdemir 2019,greening,mediterranean,fine_tuning,air_quality,barrier,pm25,17,percent,measured,1,"thick roadside cypress tree row vs no trees, dense-traffic roadside, Istanbul",primary abstract
B138,10.1016/j.scs.2010.12.001,Fintikakis_2011,combined,mediterranean,validation,thermal,watered_pavement,,2,degC,modeled,1,"projected max ambient reduction 1.2-2.0C from cool pavements (up to 3.4C with all measures combined), peak summer; project under construction at publication",Santamouris RSER cool-pavements review PDF + MDPI Sustainability 14:5159 review (both fetched)
B138,10.1016/j.scs.2010.12.001,Fintikakis_2011,combined,mediterranean,validation,thermal_surface,mixed_measures,,8,degC,modeled,1,"surface temperature reduction up to 6-8C, simulation projection for 25000 m2 bioclimatic rehabilitation",MDPI Sustainability 14:5159 review (fetched)
B139,10.1016/j.scs.2015.03.003,Pisello_2015,cool_roof,mediterranean,fine_tuning,energy,cool_roof_coating,,51,percent,measured,1,"max primary energy saving for cooling, continuously monitored 16th-century residence with cool clay tiles, central Italy (heating penalty <2%)","primary abstract (Univ. Perugia IRIS repository), fetched via web search"
B140,10.1016/j.scs.2017.11.035,Kolokotsa_2018,combined,mediterranean,fine_tuning,energy,watered_pavement,,17,percent,modeled,1,annual cooling energy demand reduction of municipal building with cool roof tiles; EnergyPlus model informed by monitoring,full text via Academia.edu (fetched)
B140,10.1016/j.scs.2017.11.035,Kolokotsa_2018,combined,mediterranean,fine_tuning,thermal_surface,watered_pavement,,10,degC,measured,1,"cool paving stones vs conventional pavement, unshaded spot at 14:00; FLIR thermal imaging, consistent with ENVI-met simulation",full text via Academia.edu (fetched)
B141,10.1016/j.tra.2015.04.029,Malina_Scheffler_2015,low_emission_zone,multi_region,fine_tuning,air_quality,lez_zone,pm10,19,percent,measured,1,"25 German cities, before/after monitoring regression with meteorological controls",Delgado-Lindeman 2025 ETRR review Annex 1 (10.1186/s12544-025-00749-2)
B142,10.1016/j.trd.2013.03.010,Ellison_2013,low_emission_zone,oceanic,validation,air_quality,lez_zone,pm10,3.07,percent,measured,1,"up to; particulate matter concentrations inside LEZ fell 2.46-3.07% vs just over 1% outside, 5 years post; no discernible NOx effect",primary abstract fetched via colab.ws DOI record
B144,10.1016/j.uclim.2013.01.001,Speak et al. 2013,greening,oceanic,validation,thermal,green_roof,,0.88,degC,measured,1,summer mean above intensive green roof vs bare rooftop (annual mean 0.43) (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
B145,10.1016/j.uclim.2015.02.001,Fantozzi et al. 2015,greening,mediterranean,fine_tuning,air_quality,park,o3,14.5,percent,measured,1,"under holm oak stand vs open field at 1 m from road, July (winter 32%); NO2 higher under canopy",Knight 2021 Additional file 5 (outcome data tables)
B146,10.1016/j.uclim.2016.02.003,Hendel_2016,combined,oceanic,validation,thermal,watered_pavement,,0.79,degC,measured,1,"max daytime air temp reduction at 1.5 m during pavement watering (0.57C at 4 m); MRT -1.76C, UTCI -1.03C; night UHI mitigation up to -0.22C",HAL open-access manuscript hal-01113917 (fetched)
B147,10.1016/j.uclim.2017.02.002,Kyriakodis_2018,cool_roof,mediterranean,fine_tuning,thermal,cool_pavement,,1.5,degC,measured,1,"ambient air temp reduction up to 1.5 degC, monitoring supported by CFD evaluation","primary abstract (Semantic Scholar), fetched"
B147,10.1016/j.uclim.2017.02.002,Kyriakodis_2018,cool_roof,mediterranean,fine_tuning,thermal_surface,cool_pavement,,11.5,degC,measured,1,"max surface temp reduction, cool non-aged asphalt, 37000 m2 Athens project, full-summer monitoring (aging can cut potential up to 50%)","primary abstract (Semantic Scholar), fetched"
B148,10.1016/j.ufug.2009.10.002,Hamada & Ohta 2010,greening,subtropical,validation,thermal,park,,1.17,degC,measured,1,mean park vs urban difference (m-a); Aram: up to 1.9 summer,Knight 2021 Additional file 2 (meta-analysis effect sizes)
B149,10.1016/j.ufug.2011.10.001,Jim & Peng 2012,greening,subtropical,validation,thermal_surface,green_roof,,8.1,degC,measured,1,42-day summer mean: surface under green roof vs bare concrete roof,Knight 2021 Additional file 5 (outcome data tables)
B150,10.1016/j.ufug.2013.03.002,"Vailshery, Jaganmohan & Nagendra 2013",greening,tropical_semiarid,validation,air_quality,street_trees,pollutant_other,65,percent,measured,1,"up to; SO2 reduction, treed vs treeless road segments, Bangalore",primary abstract
B150,10.1016/j.ufug.2013.03.002,"Vailshery, Jaganmohan & Nagendra 2013",greening,tropical_semiarid,validation,thermal,street_trees,,3,degC,measured,1,"midday median, street segments with trees vs without (abstract: up to 5.6 afternoon)",Knight 2021 Additional file 5 (outcome data tables)
B152,10.1016/j.ufug.2016.02.008,Vaz Monteiro et al. 2016,greening,oceanic,validation,thermal,park,,1,degC,measured,1,"up to; nocturnal cooling by largest greenspaces (~12 ha) extending 180-330 m, London",Aram 2019 Heliyon review text
B153,10.1016/j.ufug.2016.09.001,"Linden, Fonti & Esper 2016",greening,oceanic,validation,thermal,street_trees,,0.9,degC,measured,1,"daytime median, park vs courtyard (night 1.0; park vs garden 0.6 day), 91 summer days",Knight 2021 Additional file 5 (outcome data tables)
B155,10.1016/s0360-1323(02)00066-5,Wong et al. 2003,greening,tropical_semiarid,fine_tuning,thermal,green_roof,,4.2,degC,measured,1,maximum air temp difference above green roof plants vs hard surface (300 mm height),Knight 2021 Additional file 5 (outcome data tables)
B155,10.1016/s0360-1323(02)00066-5,Wong et al. 2003,greening,tropical_semiarid,fine_tuning,thermal_surface,green_roof,,21,degC,measured,1,maximum surface temp: bare hard surface 57 vs under rooftop plants 36,Knight 2021 Additional file 5 (outcome data tables)
B156,10.1016/s0378-7788(01)00062-7,Niachou et al. 2001,greening,mediterranean,validation,energy,green_roof,,48,percent,modeled,1,up to (range <2-48%) cooling load reduction depending on existing roof insulation,primary abstract
B157,10.1016/S0378-7788(96)01000-6,Parker_1997,cool_roof,subtropical,validation,energy,cool_roof_coating,,19,percent,measured,1,"cooling energy saving at site with typical insulation, 9 monitored Florida residences pre/post reflective coating (8 and 11.6 kWh/day for gravel and tile roofs)","Aggarwal & Molleti 2024 full text, fetched"
B158,10.1016/S0378-7788(96)01001-8,Akbari_1997,cool_roof,mediterranean,fine_tuning,energy,cool_roof_coating,,80,percent,measured,1,"seasonal cooling energy saving of monitored house (2.2 kWh/d, 80% of base case); school bungalows 35% (3.1 kWh/d); peak demand -0.6 kW, Sacramento","primary abstract (LBNL/eScholarship), fetched via web search"
B159,10.1016/s0378-7788(98)00032-2,"Ca, Asaeda & Abu 1998",greening,subtropical,fine_tuning,thermal,park,,1.72,degC,measured,1,"park vs urban surroundings, summer (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B161,10.1021/acs.est.5b04886,Cao_2015,cool_roof,subtropical,fine_tuning,thermal,cool_roof_coating,,1.2,degC,modeled,1,"avg urban midday air temp reduction during heat-wave events (0.8 degC typical summer weeks), citywide cool roof albedo simulation Guangzhou","primary abstract (OpenAlex), fetched"
B162,10.1021/es404363m,Maher 2013,greening,oceanic,fine_tuning,air_quality,barrier,pm10,50,percent,measured,1,more than 50% indoor PM10 reduction behind temporary curbside birch tree line,primary abstract
B163,10.1038/s41467-023-36972-5,Schneider_2023,combined,mediterranean,validation,thermal,watered_pavement,,0.3,degC,measured,1,"post-sunset neighborhood average (-0.19+-0.05C overall, statistically insignificant daytime); NOTE midday MRT INCREASED up to 5.1C over reflective pavement",Nature Communications full text (fetched)
B163,10.1038/s41467-023-36972-5,Schneider_2023,combined,mediterranean,validation,thermal_surface,watered_pavement,,8.4,degC,measured,1,"max reflective-pavement-minus-asphalt surface difference, noon vehicle traverse, Westcliff neighborhood",Nature Communications full text (fetched)
B164,10.1038/srep33708,Edmondson et al. 2016,greening,oceanic,fine_tuning,thermal_surface,park,,3.1,degC,measured,1,overall mean soil temperature: non-domestic greenspace under trees/shrubs vs herbaceous (max monthly diff 5.7),Knight 2021 Additional file 5 (outcome data tables)
B165,10.1068/a200517,Brown_White_1988,retrofit,continental,validation,energy,retrofit_program,,6.6,percent,measured,1,electricity -1556 kWh/yr per household = 6.6% of pre-retrofit consumption (RECAP shared-savings program; weather-normalized billing with control groups),journal abstract via OpenAlex and SAGE page (fetched)
B166,10.1080/014311698214884,Spronken-Smith & Oke 1998,greening,mediterranean,fine_tuning,thermal,park,,2.5,degC,measured,1,"daily mean park cool island, grass+tree parks, Vancouver (max 5.1 at night)",Knight 2021 Additional file 5 (outcome data tables)
B168,10.1080/10962247.2013.868380,Cyrys_2014,low_emission_zone,oceanic,fine_tuning,air_quality,lez_zone,bc,52,percent,measured,1,"traffic-related soot along Berlin major roads, 2010 vs 2007",primary abstract fetched via PubMed
B169,10.1080/14733315.2012.11683966,Santamouris_2012a,cool_roof,mediterranean,validation,thermal,cool_pavement,,3.4,degC,modeled,1,"estimated ambient temp reduction up to 3.4 K under peak summer conditions, Marousi rehabilitation design incl. 16000 m2 reflective pavements (evaluation simulations)","primary abstract (OpenAlex), fetched"
B170,10.1080/17512549.2013.865560,Pisello_2013,cool_roof,mediterranean,fine_tuning,energy,cool_roof_coating,,34,percent,measured,1,cooling energy requirement reduction ~34% (review table cites 34-47%),"primary abstract (OpenAlex), fetched; Rawat & Singh 2022 Table 1"
B170,10.1080/17512549.2013.865560,Pisello_2013,cool_roof,mediterranean,fine_tuning,thermal_surface,cool_roof_coating,,20,degC,measured,1,"roof overheating reduction up to 20 degC, continuously monitored industrial/office building Rome, summer 2012","primary abstract (OpenAlex), fetched; consistent with Rawat & Singh 2022"
B171,10.1080/17512549.2014.890540,Arumugam_2014,cool_roof,tropical_semiarid,validation,thermal,cool_roof_coating,,1.07,degC,measured,1,"seasonal avg indoor air reduction (peak 1.38 degC in April; heat flux -14.4 W/m2; +8% comfort hours), 6-month monitored unconditioned building, coated vs uncoated roof sections","primary abstract (OpenAlex), fetched"
B172,10.1088/1748-9326/7/1/014029,Gaffin_2012,cool_roof,subtropical,validation,thermal_surface,cool_roof_coating,,23.6,degC,measured,1,"avg daytime peak black vs white membrane temp difference, summer 2011, MoMA Queens NYC site (avg diurnal difference 6.6 degC)","primary full text (IOPscience), fetched"
B173,10.1088/1748-9326/8/1/015023,Li_2013,cool_roof,mediterranean,validation,thermal_surface,cool_pavement,,25,degC,measured,1,"peak evaporative cooling of watered permeable pavement surface, range 15-35 degC (midpoint reported), early-afternoon summer, instrumented test sections Davis CA","primary abstract (Semantic Scholar), fetched"
B174,10.1088/1748-9326/ab87d4,Middel_2020,cool_roof,mediterranean,fine_tuning,thermal,cool_pavement,,0.5,degC,measured,1,afternoon air temp reduction; negligible after-sunset cooling,"primary abstract (Semantic Scholar/Crossref), fetched"
B174,10.1088/1748-9326/ab87d4,Middel_2020,cool_roof,mediterranean,fine_tuning,thermal_surface,cool_pavement,,5,degC,measured,1,"coated vs regular asphalt 4-6 degC lower (midpoint reported), MaRTy transects LA; note mean radiant temp +4 degC midday over coating","primary abstract (Semantic Scholar/Crossref), fetched"
B175,10.1088/1748-9326/ac30c1,Ma_2021,low_emission_zone,oceanic,fine_tuning,air_quality,lez_zone,no2,3,percent,measured,1,up to; London average post-ULEZ (RDiT); station-level range -9% to +6%; PM2.5 negligible,Delgado-Lindeman 2025 ETRR review Table 7 (10.1186/s12544-025-00749-2)
B176,10.1088/1748-9326/ac58a8,Ko_2022,cool_roof,mediterranean,fine_tuning,thermal,cool_pavement,,0.2,degC,measured,1,max neighborhood-averaged air temp reduction (first field-measured air reduction for cool pavement),"primary abstract (Semantic Scholar/Crossref), fetched"
B176,10.1088/1748-9326/ac58a8,Ko_2022,cool_roof,mediterranean,fine_tuning,thermal_surface,cool_pavement,,5,degC,measured,1,"max neighborhood-averaged surface temp reduction for albedo +0.18 (0.08 to 0.26), 0.64 km2 Covina LA deployment","primary abstract (Semantic Scholar/Crossref), fetched"
B177,10.1088/2515-7620/ad2a8e,Taha_2024,cool_roof,mediterranean,fine_tuning,thermal,cool_pavement,,1.9,degC,measured,1,"max street-segment-averaged air temp reduction, heatwave afternoons real-time comparison (afternoon means -0.2 degC RT / -1.2 degC difference-of-differences), Pacoima LA","primary abstract (Semantic Scholar/Crossref), fetched"
B177,10.1088/2515-7620/ad2a8e,Taha_2024,cool_roof,mediterranean,fine_tuning,thermal_surface,cool_pavement,,9.2,degC,measured,1,max surface temp reduction real-time (-12.2 degC difference-of-differences; afternoon means -2.6 RT / -4.9 DofD),"primary abstract (Semantic Scholar/Crossref), fetched"
B180,10.1155/2015/747259,Jänicke et al. 2014,greening,oceanic,validation,thermal,facade,,2,degC,measured,1,mean radiant temperature (Tmrt) reduction in front of greened vs bare facade; air temp effect small,Knight 2021 Additional file 5 (outcome data tables)
B182,10.1177/0143624410394518,Gaitani_2011,combined,mediterranean,fine_tuning,thermal,watered_pavement,,2,degC,modeled,1,simulation-evaluated decrease in local summer air temperature up to 2C from combined measures (cool pavements alone 1.6K peak ambient),Sage abstract via OpenAlex + Santamouris RSER cool-pavements review PDF (fetched)
B182,10.1177/0143624410394518,Gaitani_2011,combined,mediterranean,fine_tuning,thermal_surface,watered_pavement,,4.5,degC,modeled,1,"simulated average pavement surface temperature reduction up to 4.5K over summer period, 4160 m2 square",Santamouris RSER cool-pavements review PDF (fetched)
B183,10.1371/journal.pone.0102999,Morfeld_2014,low_emission_zone,multi_region,fine_tuning,air_quality,lez_zone,no2,4,percent,measured,1,"at most (about -2 ug/m3); inside vs outside zones, 17 German cities, fixed-effects regression on matched quadruplets",primary abstract fetched via PubMed
B184,10.1515/noise-2020-0015,Silvaggio_2020,low_emission_zone,mediterranean,validation,air_quality,lez_zone,no2,3,percent,measured,1,small reduction inside Monza noise-LEZ (small +5% increase outside); PM10 not significant; passive samplers with GAM; primary abstract calls air-quality effect negligible without figures,Delgado-Lindeman 2025 ETRR review Annex 4; primary abstract via Crossref
B185,10.2134/jeq2015.01.0049,Sugawara et al. 2016,greening,subtropical,validation,thermal,park,,2.06,degC,measured,1,"sunny days (cloudy 0.06), large green space vs urban surroundings (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B186,10.2166/wst.2008.187,Yamagata_2008,combined,subtropical,validation,thermal_surface,watered_pavement,,8,degC,measured,1,"road surface daytime reduction with reclaimed-wastewater sprinkling on water-retentive pavement (3C at night), Shiodome Tokyo",IWA abstract via OpenAlex
B187,10.2208/prohe.38.381,Kinouchi_Kanda_1997,combined,subtropical,fine_tuning,thermal,watered_pavement,,1.5,degC,measured,1,max air temperature difference between watered and non-watered paved road points in summer (humidity +8%),J-Stage abstract via OpenAlex
B188,10.3354/cr006045,Grimmond_1996,combined,mediterranean,validation,thermal,mixed_measures,,-1,degC,measured,1,NO cooling benefit: air temperature at high-tree-cover (30%) neighborhood equal to or up to 1C WARMER than low-tree (10%) area; study reports energy-balance fluxes,LA Times 22-Sep-1995 report on the SCE-funded study (fetched); paper itself reports fluxes
B190,10.3386/w21331,Fowlie_Greenstone_Wolfram_2018,retrofit,multi_region,fine_tuning,energy,retrofit_program,,15,percent,measured,1,monthly energy consumption -10 to -20% (midpoint 15 reported); quasi-experimental estimate ~8-10%; experimental savings 17.2 MMBtu/yr vs 43.7 MMBtu/yr projected (~25% of projected per WP; QJE abstract: projected >3x actual); Michigan WAP RCT ~30000 households,NBER working paper 21331 PDF and QJE abstract (fetched)
B191,10.3390/app132011451,Lee_2023,combined,subtropical,validation,thermal,watered_pavement,,2.7,degC,measured,1,"average INDOOR air reduction under cool roofs (max 3.4C, data loggers); ambient outdoor differences non-significant",MDPI full text (fetched)
B191,10.3390/app132011451,Lee_2023,combined,subtropical,validation,thermal_surface,watered_pavement,,15.5,degC,measured,1,"average slab cool-roof surface reduction (panel roofs 11.6C); cool pavements 1.8-5.8C (parking) and 2.5-4.3C (alleys), thermal imaging Aug-Oct 2019",MDPI abstract + full text (fetched)
B193,10.3390/en13051246,Peñalvo López et al. 2020,greening,mediterranean,fine_tuning,energy,green_roof,,30,percent,measured,1,"summer-day cooling demand reduction, monitored building with green roof+facade (winter heating ~15%)",primary abstract
B194,10.3390/en6020598,Peng_Jim_2013,greening,subtropical,fine_tuning,thermal,green_roof,,1.7,degC,modeled,1,"up to; pedestrian-level cooling, intensive green roof scenarios (extensive 0.4-0.7), ENVI-met, Hong Kong",primary abstract
B196,10.3390/ijerph110505094,Fensterer_2014,low_emission_zone,oceanic,fine_tuning,air_quality,lez_zone,pm10,13,percent,measured,1,"busy-road monitoring site, Munich (19.6% summer, 6.8% winter); urban background site -4.5%; semiparametric regression vs reference site",primary abstract fetched via PubMed
B200,10.3390/smartcities3020025,Lebrusan_Toutouh_2020,low_emission_zone,mediterranean,validation,air_quality,lez_zone,pm25,8,percent,measured,1,"up to; range 0-8% across analysed areas, Madrid Central",Delgado-Lindeman 2025 ETRR review Annex 4
B201,10.3390/su14084843,Park_2022,cool_roof,subtropical,fine_tuning,thermal,cool_roof_coating,,0.56,degC,measured,1,"indoor air temp reduction of experimental model, annual average","primary abstract (Semantic Scholar/Crossref), fetched"
B201,10.3390/su14084843,Park_2022,cool_roof,subtropical,fine_tuning,thermal_surface,cool_roof_coating,,5.6,degC,measured,1,"roof surface temp reduction, annual average incl. day/night, regression-controlled four-season field experiment Seoul","primary abstract (Semantic Scholar/Crossref), fetched"
B202,10.3390/su16229919,Kwon_2024,combined,subtropical,validation,thermal,mixed_measures,,3.1,degC,measured,1,"ambient air reduction up to 3.1C from cooling fog systems (small water paths up to 1.5C), IoT monitoring 2021-2023",MDPI abstract (Semantic Scholar)
B202,10.3390/su16229919,Kwon_2024,combined,subtropical,validation,thermal_surface,mixed_measures,,10,degC,measured,1,surface reduction up to 10C from shading structures (cool roofs 2-3C),MDPI abstract (Semantic Scholar)
B203,10.3390/su9081379,Anjos & Lopes 2017,greening,tropical_semiarid,fine_tuning,thermal,park,,1.31,degC,measured,1,cool season park cool island (hot season 0.84) (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
B204,10.3390/w11122635,Cheng_2019,cool_roof,subtropical,validation,thermal_surface,cool_pavement,,17,degC,measured,1,"porous asphalt vs regular pavement on very hot days (permeable brick 14.3 degC; storm-event max 6.6 degC), 200 m sidewalk + 200 m bike lane Taipei","primary abstract (Semantic Scholar/Crossref), fetched"
B205,10.4103/ijoem.ijoem_120_19,Vellingiri_2020,cool_roof,tropical_semiarid,validation,thermal,cool_roof_coating,,1,degC,measured,1,"mean indoor ambient temp, solar-reflective white paint on tin roof vs uncoated tin control households, Ahmedabad slums","primary full text (Europe PMC PMC7227734), fetched"
B206,10.5547/01956574.37.4.jziv,GraffZivin_Novan_2016,retrofit,continental,fine_tuning,energy,retrofit_program,,9.4,percent,measured,1,Energy Savings Assistance Program: program-level weighted electricity savings 9.4% (n=276); behaviorally encouraged participants saved 16.9% more than non-encouraged; upgrade savings substantially below ex-ante engineering predictions,Giandomenico working paper Table 3 + review text (fetched); Energy Journal abstract (fetched)
B207,10.5547/issn0195-6574-ej-vol8-no2-7,Hirst_1987,retrofit,oceanic,fine_tuning,energy,retrofit_program,,13.2,percent,measured,1,BPA Residential Weatherization (interim/full-scale) program-level weighted electricity savings 13.2% (n=2207); wall insulation below predictions; storm windows/doors least cost-effective,Giandomenico working paper Table 3 and review text (fetched)
